State;Abbr;Capital;Largest city;Statehood;Population(2013 est);Total area(km2);Land area(km2);Water area(km2);House seat(s);Position
Alaska;AK;Juneau;Anchorage;January 3, 1959;735132;1723337;1477950;245383;1;[-149.793656,59.2308]
Alabama;AL;Montgomery;Birmingham;December 14, 1819;4833722;135767;131170;4597;7;[-86.312406,32.28034]
Arkansas;AR;Little Rock;Little Rock;June 15, 1836;2959373;137733;134770;2960;4;[-91.205363,34.60445]
Arizona;AZ;Phoenix;Phoenix;February 14, 1912;6626624;295233;294207;1026;9;[-113.951680,34.4720]
California;CA;Sacramento;Los Angeles;September 9, 1850;38332521;423968;403466;20502;53;[-119.025825,35.8138]
Colorado;CO;Denver;Denver;August 1, 1876;5268367;269602;268432;1171;7;[-105.074512,38.9728]
Connecticut;CT;Hartford;Bridgeport;January 9, 1788;3596080;14356;12541;1816;5;[-72.651953,41.61903]
Delaware;DE;Dover;Wilmington;December 7, 1787;925749;6446;5048;1399;1;[-75.513921,39.26197]
Florida;FL;Tallahassee;Jacksonville;March 3, 1845;19552860;170312;138888;31424;27;[-83.180765,28.89301]
Georgia;GA;Atlanta;Atlanta;January 2, 1788;9992167;153910;148958;4950;14;[-82.868513,32.56849]
Hawaii;HI;Honolulu;Honolulu;August 21, 1959;1404054;28314;16635;11678;2;[-157.195629,20.8611]
Iowa;IA;Des Moines;Des Moines;December 28, 1846;3090416;145746;144669;1077;4;[-93.591814,41.91329]
Idaho;ID;Boise;Boise;July 3, 1890;1612136;216443;214044;2398;2;[-114.508349,45.4055]
Illinois;IL;Springfield;Chicago;December 3, 1818;12882135;149997;143794;6203;18;[-89.327132,39.20477]
Indiana;IN;Indianapolis;Indianapolis;December 11, 1816;6570902;94327;92789;1536;9;[-86.790036,38.77709]
Kansas;KS;Topeka;Wichita;January 29, 1861;2893957;213099;211755;1347;4;[-96.912378,38.84503]
Kentucky;KY;Frankfort;Louisville;June 1, 1792;4395295;104656;102268;2385;6;[-85.752922,37.76198]
Louisiana;LA;Baton Rouge;New Orleans;April 30, 1812;4625470;135658;111898;23761;6;[-91.477726,30.78062]
Massachusetts;MA;Boston;Boston;February 6, 1788;6692824;27335;20202;7133;9;[-71.103452,41.94700]
Maryland;MD;Annapolis;Baltimore;April 28, 1788;5928814;32131;25141;6990;8;[-77.148578,39.08547]
Maine;ME;Augusta;Portland;March 15, 1820;1328302;91634;79883;11751;2;[-69.208279,44.70867]
Michigan;MI;Lansing;Detroit;January 26, 1837;9895622;250488;146435;104053;14;[-86.250939,45.38225]
Minnesota;MN;St. Paul;Minneapolis;May 11, 1858;5420380;225163;206233;18930;8;[-94.690606,46.74241]
Missouri;MO;Jefferson City;Kansas City;August 10, 1821;6021988;180540;178041;2499;8;[-91.771742,38.32315]
Mississippi;MS;Jackson;Jackson;December 10, 1817;2991207;125438;121530;3908;4;[-90.585508,32.69003]
Montana;MT;Helena;Billings;November 8, 1889;1015165;380832;376962;3869;1;[-112.902814,45.8188]
North Carolina;NC;Raleigh;Charlotte;November 21, 1789;9848060;139391;125920;13471;13;[-78.961212,35.61220]
North Dakota;ND;Bismarck;Fargo;November 2, 1889;723393;183107;178712;4398;1;[-97.774025,47.63466]
Nebraska;NE;Lincoln;Omaha;March 1, 1867;1868516;200330;198973;1357;3;[-97.457840,41.54884]
New Hampshire;NH;Concord;Manchester;June 21, 1788;1323459;24214;23188;1028;2;[-71.704212,43.75585]
New Jersey;NJ;Trenton;Newark;December 18, 1787;8899339;22592;19047;3543;12;[-74.818290,40.28347]
New Mexico;NM;Santa Fe;Albuquerque;January 6, 1912;2085287;314917;314160;756;3;[-105.663380,34.0614]
Nevada;NV;Carson City;Las Vegas;October 31, 1864;2790136;286380;284331;2049;4;[-115.726983,37.4392]
New York;NY;Albany;New York;July 26, 1788;19651127;141297;122056;19241;27;[-74.628669,42.27040]
Ohio;OH;Columbus;Columbus;March 1, 1803;11570808;116099;105830;10269;16;[-82.455855,39.57920]
Oklahoma;OK;Oklahoma City;Oklahoma City;November 16, 1907;3850568;181038;177660;3377;5;[-96.970981,34.38320]
Oregon;OR;Salem;Portland;February 14, 1859;3930065;254800;248608;6193;5;[-120.130696,44.9584]
Pennsylvania;PA;Harrisburg;Philadelphia;December 12, 1787;12773801;119279;115884;3398;18;[-76.216592,40.79705]
Rhode Island;RI;Providence;Providence;May 29, 1790;1051511;4002;2678;1320;2;[-71.446219,41.65166]
South Carolina;SC;Columbia;Columbia;May 23, 1788;4774839;82931;77858;5076;7;[-81.534261,33.64273]
South Dakota;SD;Pierre;Sioux Falls;November 2, 1889;844877;199730;196350;3380;1;[-98.037313,43.58989]
Tennessee;TN;Nashville;Memphis;June 1, 1796;6495978;109152;106798;2354;9;[-86.764715,35.84714]
Texas;TX;Austin;Houston;December 29, 1845;26448193;695660;676588;19075;36;[-97.199128,31.02350]
Utah;UT;Salt Lake City;Salt Lake City;January 4, 1896;2900872;219882;212819;7063;4;[-111.383971,39.2756]
Virginia;VA;Richmond;Virginia Beach;June 25, 1788;8260405;110787;102279;8508;11;[-78.544895,37.67943]
Vermont;VT;Montpelier;Burlington;March 4, 1791;626630;24905;23872;1036;1;[-72.570077,43.94560]
Washington;WA;Olympia;Seattle;November 11, 1889;6971406;184661;172120;12541;10;[-122.004938,47.1186]
Wisconsin;WI;Madison;Milwaukee;May 29, 1848;5742713;169634;140269;29368;8;[-89.650337,44.93828]
West Virginia;WV;Charleston;Charleston;June 20, 1863;1854304;62755;62258;497;3;[-80.195522,38.82590]
Wyoming;WY;Cheyenne;Cheyenne;July 10, 1890;582658;253335;251470;1865;1;[-107.399413,43.0197]
